id,group,label
psinus,unknown,Vaquita
ptaltaica,unknown,Tiger
ptephrosceles,unknown,Ugandan red Colobus
ptextilis,unknown,Eastern brown snake
ptroglodytes,replicative,Chimp
pvampyrus,unknown,Megabat
rbieti,unknown,Black snub-nosed monkey
rferrumequinum,unknown,Greater horseshoe bat
rnorvegicus,negative,Rat
rroxellana,unknown,Golden snub-nosed monkey
saraneus,shortlived,Shrew
saurata,unknown,Gilthead seabream
sbboliviensis,unknown,Bolivian squirrel monkey
scanaria,unknown,Common canary
scaustralis,unknown,African austrich
scerevisiae,shortlived,Yeast
sdumerili,unknown,Greater amberjack
sfasciatus,unknown,Jewelled Blenny
sformosus,unknown,Asian arowana
sgrahami,unknown,Golden-line barbel
shabroptila,unknown,Kakapo (parrot)
sharrisii,shoatlived,Tasmanian devil
sldorsalis,unknown,Yellowtail amberjack
slucioperca,unknown,Pike-perch
smaximus,unknown,Turbot
smerianae,unknown,Argentine black and white tegu
sorbicularis,unknown,Orbiculate cardinalfish
spunctatus,unknown,Tuatara
spartitus,unknown,Bicolor damselfish
ssalar,unknown,Atlantic salmon
sscrofa,replicative,Pig
strutta,unknown,River trout
svulgaris,unknown,Eurasian red squirrel
tbelangeri,leaveout,Tree shrew
tctriunguis,unknown,Three-toad box turtle
tgelada,replicative,Gelada
tguttata,shortlived,Zebra finch
tnigroviridis,leaveout,Tetraodon
trubripes,leaveout,Fugu
tsyrichta,leaveout,Tarsius/Carlito syrichta
ttruncatus,maybe,Dolphin
uamericanus,unknown,American black bear
umaritimus,unknown,Polar bear
uparryii,unknown,Arctic ground squirrel
vpacos,maybe,Alpaca
vursinus,unknown,Common wombat
vvulpes,unknown,Red fox
xcouchianus,unknown,Monterrey platyfish
xmaculatus,shortlived,Platyfish 
xtropicalis,shortlived,Frog
zalbicollis,unknown,White-throated sparrow
